URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/address-type,4.0.1,active,"2.16.840.1.113883.4.642.3.69",AddressType,AddressType,"The type of an address (physical / postal).","StructureDefinition/PatientSNS","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/address-use,4.0.1,active,"2.16.840.1.113883.4.642.3.67",AddressUse,AddressUse,"The use of an address.","StructureDefinition/PatientSNS","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/PatientSNS","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/common-tags,4.0.1,draft,"2.16.840.1.113883.4.642.3.79",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","StructureDefinition/PatientSNS","THO"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/PatientSNS","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/PatientSNS","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/PatientSNS","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/link-type,4.0.1,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/PatientSNS","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/marital-status,4.0.1,active,"2.16.840.1.113883.4.642.3.29",Marital Status Codes,MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/PatientSNS","THO (V3)"
http://hl7.org/fhir/ValueSet/name-use,4.0.1,active,"2.16.840.1.113883.4.642.3.65",NameUse,NameUse,"The use of a human name.","StructureDefinition/PatientSNS","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/patient-contactrelationship,4.0.1,active,"2.16.840.1.113883.4.642.3.1130",PatientContactRelationship,Patient Contact Relationship ,"The nature of the relationship between the patient and the contact person.","StructureDefinition/PatientSNS","THO (V2)"
http://hl7.org/fhir/ValueSet/security-labels,4.0.1,active,"2.16.840.1.113883.4.642.3.47",All Security Labels,SecurityLabels,"A single value set for all security labels defined by FHIR.","StructureDefinition/PatientSNS",
http://sns.gob.es/fhir/tsi/ValueSet/aseguradorasVS,1.0.0,draft,,AseguradorasVS,ValueSet Aseguradoras,"ValueSet Aseguradoras","StructureDefinition/patient-coverage-insurance","Internal"
http://sns.gob.es/fhir/tsi/ValueSet/colaboradorasVS,1.0.0,draft,,ColaboradorasVS,ValueSet Colaboradoras,"ValueSet Colaboradoras","StructureDefinition/patient-coverage-entities","Internal"
http://sns.gob.es/fhir/tsi/ValueSet/comunidadesAutonomasVS,1.0.0,draft,,ComunidadesAutonomasVS,ValueSet Comunidades Autónomas,"ValueSet Comunidades Autónomas","StructureDefinition/patient-temporalidad-ca,StructureDefinition/patient-birth-community,StructureDefinition/patient-adscription-community,StructureDefinition/patient-inscription-community","Internal"
http://sns.gob.es/fhir/tsi/ValueSet/estadoIndefVS,1.0.0,draft,,EstadoIndefVS,ValueSet comprobación Fecha Defunción,"ValueSet comprobación Fecha Defunción","StructureDefinition/estado-comprobacion-indef","Internal"
http://sns.gob.es/fhir/tsi/ValueSet/estadosVS,1.0.0,draft,,EstadosVS,ValueSet Estado Paciente,"ValueSet Estado Paciente","StructureDefinition/patient-passive-cause","Internal"
http://sns.gob.es/fhir/tsi/ValueSet/gestorasVS,1.0.0,draft,,GestorasVS,ValueSet Gestoras,"ValueSet Gestoras","StructureDefinition/patient-coverage-mgt","Internal"
http://sns.gob.es/fhir/tsi/ValueSet/indicadorFarmaciaVS,1.0.0,draft,,IndicadorFarmaciaVS,Indicador Farmacia ValueSet,"Indicador Farmacia ValueSet","StructureDefinition/patient-pharmacy-indicator","Internal"
http://sns.gob.es/fhir/tsi/ValueSet/municipiosVS,1.0.0,draft,,MunicipiosVS,ValueSet Municipios,"ValueSet Municipios","StructureDefinition/patient-address-municipio","Internal"
http://sns.gob.es/fhir/tsi/ValueSet/nacionalidadesVS,1.0.0,draft,,NacionalidadesVS,ValueSet Nacionalidades,"ValueSet Nacionalidades",,"Internal"
http://sns.gob.es/fhir/tsi/ValueSet/paisesVS,1.0.0,draft,,PaisesVS,ValueSet Paises,"ValueSet Paises","StructureDefinition/patient-birth-country","Internal"
http://sns.gob.es/fhir/tsi/ValueSet/proveedoresVS,1.0.0,draft,,ProveedoresVS,ValueSet Proveedores,"ValueSet Proveedores","StructureDefinition/patient-coverage-providers","Internal"
http://sns.gob.es/fhir/tsi/ValueSet/provinciasVS,1.0.0,draft,,ProvinciasVS,ValueSet Provincias,"ValueSet Provincias","StructureDefinition/patient-address-provincia","Internal"
http://sns.gob.es/fhir/tsi/ValueSet/situacionesVS,1.0.0,draft,,SituacionesVS,ValueSet Situaciones,"ValueSet Situaciones","StructureDefinition/patient-coverage-situation","Internal"
http://sns.gob.es/fhir/tsi/ValueSet/subIndicadorFarmaciaVS,1.0.0,draft,,SubIndicadorFarmaciaVS,ValueSet Subindicador Farmacia,"ValueSet Subindicador Farmacia","StructureDefinition/patient-pharmacy-subindicator","Internal"
http://sns.gob.es/fhir/tsi/ValueSet/tipoViaVS,1.0.0,draft,,TipoViaVS,ValueSet Tipo de Via,"ValueSet Tipo de Via","StructureDefinition/iso21090-ADXP-streetNameType","Internal"
http://sns.gob.es/fhir/tsi/ValueSet/titulosVS,1.0.0,draft,,TitulosVS,ValueSet Titulos,"ValueSet Titulos","StructureDefinition/patient-coverage-title","Internal"
