URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://sns.gob.es/fhir/tsi/ValueSet/aseguradorasVS,1.0.0,draft,,AseguradorasVS,ValueSet Aseguradoras,"ValueSet Aseguradoras",,"Internal"
http://sns.gob.es/fhir/tsi/ValueSet/colaboradorasVS,1.0.0,draft,,ColaboradorasVS,ValueSet Colaboradoras,"ValueSet Colaboradoras",,"Internal"
http://sns.gob.es/fhir/tsi/ValueSet/comunidadesAutonomasVS,1.0.0,draft,,ComunidadesAutonomasVS,ValueSet Comunidades Autónomas,"ValueSet Comunidades Autónomas",,"Internal"
http://sns.gob.es/fhir/tsi/ValueSet/estadoIndefVS,1.0.0,draft,,EstadoIndefVS,ValueSet comprobación Fecha Defunción,"ValueSet comprobación Fecha Defunción",,"Internal"
http://sns.gob.es/fhir/tsi/ValueSet/estadosVS,1.0.0,draft,,EstadosVS,ValueSet Estado Paciente,"ValueSet Estado Paciente",,"Internal"
http://sns.gob.es/fhir/tsi/ValueSet/gestorasVS,1.0.0,draft,,GestorasVS,ValueSet Gestoras,"ValueSet Gestoras",,"Internal"
http://sns.gob.es/fhir/tsi/ValueSet/indicadorFarmaciaVS,1.0.0,draft,,IndicadorFarmaciaVS,Indicador Farmacia ValueSet,"Indicador Farmacia ValueSet",,"Internal"
http://sns.gob.es/fhir/tsi/ValueSet/municipiosVS,1.0.0,draft,,MunicipiosVS,ValueSet Municipios,"ValueSet Municipios",,"Internal"
http://sns.gob.es/fhir/tsi/ValueSet/nacionalidadesVS,1.0.0,draft,,NacionalidadesVS,ValueSet Nacionalidades,"ValueSet Nacionalidades",,"Internal"
http://sns.gob.es/fhir/tsi/ValueSet/paisesVS,1.0.0,draft,,PaisesVS,ValueSet Paises,"ValueSet Paises",,"Internal"
http://sns.gob.es/fhir/tsi/ValueSet/proveedoresVS,1.0.0,draft,,ProveedoresVS,ValueSet Proveedores,"ValueSet Proveedores",,"Internal"
http://sns.gob.es/fhir/tsi/ValueSet/provinciasVS,1.0.0,draft,,ProvinciasVS,ValueSet Provincias,"ValueSet Provincias",,"Internal"
http://sns.gob.es/fhir/tsi/ValueSet/situacionesVS,1.0.0,draft,,SituacionesVS,ValueSet Situaciones,"ValueSet Situaciones",,"Internal"
http://sns.gob.es/fhir/tsi/ValueSet/subIndicadorFarmaciaVS,1.0.0,draft,,SubIndicadorFarmaciaVS,ValueSet Subindicador Farmacia,"ValueSet Subindicador Farmacia",,"Internal"
http://sns.gob.es/fhir/tsi/ValueSet/tipoViaVS,1.0.0,draft,,TipoViaVS,ValueSet Tipo de Via,"ValueSet Tipo de Via",,"Internal"
http://sns.gob.es/fhir/tsi/ValueSet/titulosVS,1.0.0,draft,,TitulosVS,ValueSet Titulos,"ValueSet Titulos",,"Internal"
